image_id,n_citi,bed,bath,sqft,price
1,48,3,2,713,228500
4,55,4,3,2547,385100
6,55,4,3,2769,415000
7,48,5,2,2600,545000
8,48,5,2,2600,545000
9,317,4,5,3932,690000
10,129,3,2,4044,1350000
11,122,5,5,6247,1499000
15,122,5,5,6247,1499000
16,122,3,3,4597,1550000
17,122,8,3,4236,1850000
18,367,4,1,1980,1995000
19,367,4,2,1967,249950
20,20,4,2,1573,205000
21,57,5,3,2065,249000
22,24,3,2,1087,195000
23,122,3,2,1400,229000
24,57,3,2,1533,229000
25,24,2,1,966,239900
26,122,3,2,1760,235000
27,24,3,2,1478,239900
28,24,4,3,1876,240000
29,24,3,2,1820,239990
30,24,3,2,1873,219000
31,312,3,2,1265,220000
32,99,3,1,1364,199500
33,24,3,2,1004,224990
34,367,4,3,3648,249000
35,24,3,2,1608,250000
36,312,3,2,1504,225000
38,57,5,3,2190,234900
39,312,3,2,1500,245000
40,57,3,2,1410,198000
41,196,3,2,1152,199900
42,282,3,2,1440,235000
43,122,2,2,1008,216500
44,57,3,2,1562,225000
45,282,2,1,974,210000
46,122,3,1,1440,219000
47,122,2,1,896,198500
48,24,4,3,1848,219900
49,282,2,2,1378,249000
51,312,3,2,1222,216000
52,312,2,2,956,230000
53,367,3,2,1320,249000
54,312,3,2,1484,255000
55,24,3,2,1499,233000
56,57,3,2,1422,195000
57,282,3,2,1152,238000
58,57,3,2,1774,230000
59,282,3,2,1584,219000
60,282,4,2,1368,239900
61,24,3,2,1268,234900
62,367,4,2,1888,255000
63,57,3,2,1877,199000
64,122,3,2,1290,237500
65,282,2,2,949,209750
66,367,3,2,1402,239000
67,24,3,2,1242,200000
68,367,3,3,2354,249000
69,282,3,2,1426,249000
70,57,4,2,1775,195000
71,282,3,2,952,199000
72,24,5,2,1953,235000
73,24,3,2,1527,209900
74,312,2,2,956,213900
75,282,3,2,1542,220000
76,24,3,2,1411,250000
77,24,3,2,1448,230000
78,122,2,2,1536,245000
79,24,2,1,991,219900
80,57,3,2,1400,249000
81,122,3,2,1380,249900
82,282,2,1,783,195000
83,156,2,1,1100,230000
84,57,3,2,1729,210000
85,57,3,2,1945,199950
86,282,4,2,1632,239000
87,282,3,2,1792,299000
88,367,4,2,1967,249950
89,312,3,2,1433,260000
91,57,5,3,2065,249000
92,24,3,2,1838,265000
93,24,3,2,1683,290000
94,312,5,2,1837,260000
95,312,3,2,1630,259900
96,122,3,2,1198,280000
98,24,3,2,1515,275000
99,57,4,2,1996,269669
100,367,4,3,3648,249000
101,24,3,2,1316,275000
102,24,3,2,1608,250000
103,24,5,2,2228,299000
104,282,3,2,1800,270000
106,57,4,3,1991,265000
107,312,3,2,1735,295000
109,312,3,2,1500,245000
110,282,2,2,1137,259000
111,220,6,5,2352,300000
112,57,3,2,2400,258000
113,122,3,3,1526,275000
114,312,3,2,1687,260000
115,122,3,2,1558,295000
116,282,2,2,1378,249000
117,312,3,2,1473,269900
118,24,4,3,1982,299900
119,196,3,2,1800,259000
120,367,3,2,1320,249000
121,122,3,2,1665,289000
122,312,3,2,1484,255000
123,45,3,2,1800,299000
124,122,3,2,2176,260000
125,122,3,3,1376,269900
126,367,4,2,1888,255000
127,282,3,3,1293,279000
128,196,3,3,2479,299500
130,367,3,3,2354,249000
131,282,3,2,1426,249000
132,282,2,2,1520,265000
